FILE,raw_amp,a_open,a_close,X-UA-Compatible,viewport,anchor_open,anchor_close,unmatched_open,unmatched_close,changed
avn\n_vojni.htm,0,3,3,0,1,3,3,0,0,no
avn\news_por.htm,0,0,0,0,1,0,0,0,0,no
avn\o_put.htm,0,0,0,0,1,0,0,0,0,no
avn\okr_ru.htm,0,7,7,0,1,7,7,0,0,no
avn\outcome.htm,0,7,7,0,1,7,7,0,0,no
avn\p_p.htm,0,11,11,0,1,11,11,1,0,yes
avn\prisaga.htm,0,1,1,0,1,1,1,0,0,no
avn\ru2005sv.htm,0,10,10,0,1,10,10,0,0,no
avn\s-g-1941.htm,0,11,11,0,1,11,11,0,0,no
avn\s-v-1941.htm,0,10,10,0,1,10,10,0,0,no
avn\sf.htm,0,1,1,0,1,1,1,0,0,no
avn\sistema.htm,0,23,23,0,1,23,23,0,0,no
avn\sl75.htm,0,0,0,0,1,0,0,0,0,no
avn\snb2020.htm,0,0,0,0,1,0,0,0,0,no
avn\snesarev2.htm,0,1,1,0,1,1,1,0,0,no
avn\sozmat.htm,0,2,2,0,1,2,2,1,0,yes
avn\ss1941.htm,0,71,71,0,1,71,71,0,0,no
avn\sss1941.htm,0,46,46,0,1,46,46,1,0,yes
avn\u_razvit.htm,0,0,0,0,1,0,0,0,0,no
avn\vnv.htm,0,9,9,0,1,9,9,0,0,no
b_vas.htm,0,1,1,0,1,1,1,0,0,no
bb.htm,0,2,2,0,1,2,2,0,0,no
beda2005.htm,0,0,0,0,1,0,0,0,0,no
bez_gor.htm,0,1,1,0,1,1,1,1,0,yes
bezop.htm,0,2,2,0,1,2,2,0,0,no
bio_gar.htm,0,0,0,0,1,0,0,0,0,no
bob.htm,0,344,344,0,1,344,344,0,0,no
bog.htm,0,0,0,0,1,0,0,0,0,no
boris_lih.htm,0,1,1,0,1,1,1,0,0,no
bunt_an.htm,0,0,0,0,1,0,0,0,0,no
chess.htm,0,0,0,0,1,0,0,0,0,no
chro.htm,0,2,2,0,0,2,2,1,0,yes
coz_konf.htm,0,1,1,0,1,1,1,0,0,no
ddd.htm,0,2,2,0,1,2,2,1,0,yes
deklaraz.htm,0,1,1,0,1,1,1,0,0,no
delooo.htm,0,0,0,0,1,0,0,0,0,no
dembel.htm,0,1,1,0,1,1,1,1,0,yes
detroit1.htm,0,0,0,0,1,0,0,0,0,no
donoc.htm,0,0,0,0,1,0,0,0,0,no
dud.htm,0,1,1,0,1,1,1,0,0,no
duma.htm,0,2,2,0,1,2,2,1,0,yes
dvm\d1.htm,0,0,0,0,0,0,0,0,0,no
dvm\d10.htm,0,0,0,0,0,0,0,0,0,no
